Protocol,Flow.Duration,Tot.Fwd.Pkts,Tot.Bwd.Pkts,TotLen.Fwd.Pkts,Fwd.Pkt.Len.Min,Fwd.Pkt.Len.Std,Flow.Byts.s,Flow.Pkts.s,Flow.IAT.Mean,Flow.IAT.Std,Fwd.IAT.Min,Bwd.IAT.Tot,Bwd.IAT.Std,Bwd.IAT.Min,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,SYN.Flag.Cnt,RST.Flag.Cnt,URG.Flag.Cnt,CWR.Flag.Count,Fwd.Byts.b.Avg,Fwd.Pkts.b.Avg,Fwd.Blk.Rate.Avg,Bwd.Byts.b.Avg,Bwd.Pkts.b.Avg,Bwd.Blk.Rate.Avg,Subflow.Fwd.Byts,Fwd.Act.Data.Pkts,Fwd.Seg.Size.Min,Active.Std,Active.Min,Idle.Mean,Idle.Std,Label
6,1486,5,2,935,0,418.1447118,847913.8627,4710.632571,247.6666667,282.4554242,3,694,0.0,694,0,0,0,0,1,0,0,0,0,0,0,0,0,935,1,20,0.0,0,0.0,0.0,0
6,16518,5,2,935,0,418.1447118,72284.78024,423.7801187,2753.0,6446.971444,8,15910,0.0,15910,0,0,0,0,1,0,0,0,0,0,0,0,0,935,1,20,0.0,0,0.0,0.0,0
6,18809,5,2,935,0,418.1447118,67574.03371,372.1622627,3134.833333,7413.02463,10,18265,0.0,18265,0,0,0,0,1,0,0,0,0,0,0,0,0,935,1,20,0.0,0,0.0,0.0,0
6,1343,5,2,935,0,418.1447118,880119.1363,5212.211467,223.8333333,287.1873372,8,743,0.0,743,0,0,0,0,1,0,0,0,0,0,0,0,0,935,1,20,0.0,0,0.0,0.0,0
6,1267,5,2,935,0,418.1447118,948697.7111,5524.861878,211.1666667,273.7717419,6,710,0.0,710,0,0,0,0,1,0,0,0,0,0,0,0,0,935,1,20,0.0,0,0.0,0.0,0
6,33543,5,2,935,0,418.1447118,38070.53633,208.6873565,5590.5,13383.55728,7,32908,0.0,32908,0,0,0,0,1,0,0,0,0,0,0,0,0,935,1,20,0.0,0,0.0,0.0,0
6,1367,5,2,935,0,418.1447118,910021.9459,5120.702268,227.8333333,308.4142777,7,807,0.0,807,0,0,0,0,1,0,0,0,0,0,0,0,0,935,1,20,0.0,0,0.0,0.0,0
6,1315,5,2,935,0,418.1447118,938403.0418,5323.193916,219.1666667,272.3045476,6,700,0.0,700,0,0,0,0,1,0,0,0,0,0,0,0,0,935,1,20,0.0,0,0.0,0.0,0
6,8190,5,2,935,0,418.1447118,147741.1477,854.7008547,1365.0,3051.575855,7,7588,0.0,7588,0,0,0,0,1,0,0,0,0,0,0,0,0,935,1,20,0.0,0,0.0,0.0,0
6,14508,5,2,935,0,418.1447118,87951.47505,482.492418,2418.0,5684.793787,6,14020,0.0,14020,0,0,0,0,1,0,0,0,0,0,0,0,0,935,1,20,0.0,0,0.0,0.0,0
6,1306,5,2,935,0,418.1447118,983154.6708,5359.877489,217.6666667,265.4676377,5,679,0.0,679,0,0,0,0,1,0,0,0,0,0,0,0,0,935,1,20,0.0,0,0.0,0.0,0
6,1446,5,2,935,0,418.1447118,864453.6653,4840.940526,241.0,313.1727958,3,821,0.0,821,0,0,0,0,1,0,0,0,0,0,0,0,0,935,1,20,0.0,0,0.0,0.0,0
6,1448,5,2,935,0,418.1447118,862569.0608,4834.254144,241.3333333,276.1504421,6,678,0.0,678,0,0,0,0,1,0,0,0,0,0,0,0,0,935,1,20,0.0,0,0.0,0.0,0
