Protocol,Flow.Duration,Tot.Fwd.Pkts,TotLen.Fwd.Pkts,Fwd.Pkt.Len.Max,Fwd.Pkt.Len.Min,Fwd.Pkt.Len.Mean,Bwd.Pkt.Len.Min,Bwd.Pkt.Len.Mean,Flow.Byts.s,Flow.Pkts.s,Flow.IAT.Mean,Flow.IAT.Std,Bwd.IAT.Tot,Bwd.IAT.Mean,Bwd.IAT.Std,Fwd.PSH.Flags,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,Bwd.Pkts.s,SYN.Flag.Cnt,RST.Flag.Cnt,PSH.Flag.Cnt,URG.Flag.Cnt,CWR.Flag.Count,Down.Up.Ratio,Bwd.Seg.Size.Avg,Fwd.Byts.b.Avg,Fwd.Pkts.b.Avg,Fwd.Blk.Rate.Avg,Bwd.Byts.b.Avg,Init.Fwd.Win.Byts,Fwd.Seg.Size.Min,Active.Mean,Idle.Mean,Idle.Std,Label
6,1119,5,935,935,0,187.0,0,149.5,1102770.331,6255.585344,186.5,238.1199278,618,618.0,0.0,0,0,0,0,1787.310098,0,1,1,0,0,0.0,149.5,0,0,0,0,65535,20,0.0,0,0.0,0
6,2048,5,935,935,0,187.0,0,124.0,577636.7188,3417.96875,341.3333333,417.371617,1010,1010.0,0.0,0,0,0,0,976.5625,0,1,1,0,0,0.0,124.0,0,0,0,0,65535,20,0.0,0,0.0,0
6,17149,5,935,935,0,187.0,0,174.5,74873.17045,408.1870663,2858.166667,6724.399316,16582,16582.0,0.0,0,0,0,0,116.6248761,0,1,1,0,0,0.0,174.5,0,0,0,0,65535,20,0.0,0,0.0,0
6,1177,5,935,935,0,187.0,0,142.0,1035683.942,5947.323704,196.1666667,252.9801705,662,662.0,0.0,0,0,0,0,1699.235344,0,1,1,0,0,0.0,142.0,0,0,0,0,65535,20,0.0,0,0.0,0
6,1198,5,935,935,0,187.0,0,158.0,1044240.401,5843.071786,199.6666667,238.2231447,595,595.0,0.0,0,0,0,0,1669.449082,0,1,1,0,0,0.0,158.0,0,0,0,0,65535,20,0.0,0,0.0,0
6,1231,5,935,935,0,187.0,0,162.5,1023558.083,5686.433794,205.1666667,235.7875456,541,541.0,0.0,0,0,0,0,1624.69537,0,1,1,0,0,0.0,162.5,0,0,0,0,65535,20,0.0,0,0.0,0
6,7219,5,935,935,0,187.0,0,145.5,169829.6163,969.6633883,1203.166667,2540.783613,6370,6370.0,0.0,0,0,0,0,277.0466824,0,1,1,0,0,0.0,145.5,0,0,0,0,65535,20,0.0,0,0.0,0
6,1214,5,935,935,0,187.0,0,154.0,1023887.974,5766.062603,202.3333333,248.6569256,641,641.0,0.0,0,0,0,0,1647.446458,0,1,1,0,0,0.0,154.0,0,0,0,0,65535,20,0.0,0,0.0,0
6,1123,5,935,935,0,187.0,0,162.5,1121994.657,6233.303651,187.1666667,233.8011263,605,605.0,0.0,0,0,0,0,1780.9439,0,1,1,0,0,0.0,162.5,0,0,0,0,65535,20,0.0,0,0.0,0
6,7893,5,935,935,0,187.0,0,138.0,153427.0873,886.8617763,1315.5,2950.897813,7334,7334.0,0.0,0,0,0,0,253.3890789,0,1,1,0,0,0.0,138.0,0,0,0,0,65535,20,0.0,0,0.0,0
6,1230,5,935,935,0,187.0,0,142.0,991056.9106,5691.056911,205.0,273.0377263,714,714.0,0.0,0,0,0,0,1626.01626,0,1,1,0,0,0.0,142.0,0,0,0,0,65535,20,0.0,0,0.0,0
6,1254,5,935,935,0,187.0,0,174.5,1023923.445,5582.137161,209.0,269.0672778,691,691.0,0.0,0,0,0,0,1594.896332,0,1,1,0,0,0.0,174.5,0,0,0,0,65535,20,0.0,0,0.0,0
6,9271,5,935,935,0,187.0,0,157.0,134721.1736,755.042606,1545.166667,3487.858909,8659,8659.0,0.0,0,0,0,0,215.7264589,0,1,1,0,0,0.0,157.0,0,0,0,0,65535,20,0.0,0,0.0,0
6,1332,5,935,935,0,187.0,0,145.5,920420.4204,5255.255255,222.0,262.664044,651,651.0,0.0,0,0,0,0,1501.501502,0,1,1,0,0,0.0,145.5,0,0,0,0,65535,20,0.0,0,0.0,0
6,1211,5,935,935,0,187.0,0,156.0,1029727.498,5780.346821,201.8333333,248.0414616,628,628.0,0.0,0,0,0,0,1651.527663,0,1,1,0,0,0.0,156.0,0,0,0,0,65535,20,0.0,0,0.0,0
6,1373,5,935,935,0,187.0,0,145.5,892935.1784,5098.324836,228.8333333,327.0800616,850,850.0,0.0,0,0,0,0,1456.664239,0,1,1,0,0,0.0,145.5,0,0,0,0,65535,20,0.0,0,0.0,0
