"Protocol","Flow.Duration","Tot.Fwd.Pkts","Tot.Bwd.Pkts","TotLen.Fwd.Pkts","TotLen.Bwd.Pkts","Fwd.Pkt.Len.Max","Fwd.Pkt.Len.Min","Fwd.Pkt.Len.Mean","Fwd.Pkt.Len.Std","Bwd.Pkt.Len.Max","Bwd.Pkt.Len.Min","Bwd.Pkt.Len.Mean","Bwd.Pkt.Len.Std","Flow.Byts.s","Flow.Pkts.s","Flow.IAT.Mean","Flow.IAT.Std","Flow.IAT.Max","Flow.IAT.Min","Fwd.IAT.Tot","Fwd.IAT.Mean","Fwd.IAT.Std","Fwd.IAT.Max","Fwd.IAT.Min","Bwd.IAT.Tot","Bwd.IAT.Mean","Bwd.IAT.Std","Bwd.IAT.Max","Bwd.IAT.Min","Fwd.PSH.Flags","Bwd.PSH.Flags","Fwd.URG.Flags","Bwd.URG.Flags","Fwd.Header.Len","Bwd.Header.Len","Fwd.Pkts.s","Bwd.Pkts.s","Pkt.Len.Min","Pkt.Len.Max","Pkt.Len.Mean","Pkt.Len.Std","Pkt.Len.Var","FIN.Flag.Cnt","SYN.Flag.Cnt","RST.Flag.Cnt","PSH.Flag.Cnt","ACK.Flag.Cnt","URG.Flag.Cnt","CWR.Flag.Count","ECE.Flag.Cnt","Down.Up.Ratio","Pkt.Size.Avg","Fwd.Seg.Size.Avg","Bwd.Seg.Size.Avg","Fwd.Byts.b.Avg","Fwd.Pkts.b.Avg","Fwd.Blk.Rate.Avg","Bwd.Byts.b.Avg","Bwd.Pkts.b.Avg","Bwd.Blk.Rate.Avg","Subflow.Fwd.Pkts","Subflow.Fwd.Byts","Subflow.Bwd.Pkts","Subflow.Bwd.Byts","Init.Fwd.Win.Byts","Init.Bwd.Win.Byts","Fwd.Act.Data.Pkts","Fwd.Seg.Size.Min","Active.Mean","Active.Std","Active.Max","Active.Min","Idle.Mean","Idle.Std","Idle.Max","Idle.Min","Label"
6,14302,5,2,935,266,935,0,187,418.1447118,266,0,133,188.0904038,83974.26933,489.4420361,2383.666667,5501.924597,13609,2,14302,3575.5,6987.027146,14055,2,13609,13609,0,13609,13609,0,0,0,0,124,40,349.6014543,139.8405817,0,935,150.125,330.5149391,109240.125,0,0,1,1,0,0,0,1,0,171.5714286,187,133,0,0,0,0,0,0,5,935,2,266,65535,32768,1,20,0,0,0,0,0,0,0,0,0
6,1329,5,2,935,247,935,0,187,418.1447118,247,0,123.5,174.655375,889390.5192,5267.118134,221.5,274.6814519,699,7,1329,332.25,499.6167698,1065,7,699,699,0,699,699,0,0,0,0,124,40,3762.227239,1504.890895,0,935,147.75,329.6304208,108656.2143,0,0,1,1,0,0,0,1,0,168.8571429,187,123.5,0,0,0,0,0,0,5,935,2,247,65535,32768,1,20,0,0,0,0,0,0,0,0,0
6,1134,5,2,935,310,935,0,187,418.1447118,310,0,155,219.2031022,1097883.598,6172.839506,189,241.6882289,623,7,1134,283.5,431.6731016,920,7,623,623,0,623,623,0,0,0,0,124,40,4409.171076,1763.66843,0,935,155.625,333.0748254,110938.8393,0,0,1,1,0,0,0,1,0,177.8571429,187,155,0,0,0,0,0,0,5,935,2,310,65535,32768,1,20,0,0,0,0,0,0,0,0,0
6,31198,5,2,935,314,935,0,187,418.1447118,314,0,157,222.0315293,40034.6176,224.3733573,5199.666667,12418.50366,30547,6,31198,7799.5,15418.03977,30926,6,30547,30547,0,30547,30547,0,0,0,0,124,40,160.2666838,64.1066735,0,935,156.125,333.3425683,111117.2679,0,0,1,1,0,0,0,1,0,178.4285714,187,157,0,0,0,0,0,0,5,935,2,314,65535,32768,1,20,0,0,0,0,0,0,0,0,0
6,1492,5,2,935,249,935,0,187,418.1447118,249,0,124.5,176.0695885,793565.6836,4691.689008,248.6666667,341.0159332,879,4,1492,373,591.3295753,1248,4,879,879,0,879,879,0,0,0,0,124,40,3351.206434,1340.482574,0,935,148,329.7171948,108713.4286,0,0,1,1,0,0,0,1,0,169.1428571,187,124.5,0,0,0,0,0,0,5,935,2,249,65535,32768,1,20,0,0,0,0,0,0,0,0,0
6,1093,5,2,935,323,935,0,187,418.1447118,323,0,161.5,228.3954903,1150960.659,6404.391583,182.1666667,213.4932474,540,6,1093,273.25,394.0316189,848,6,540,540,0,540,540,0,0,0,0,124,40,4574.565416,1829.826167,0,935,157.25,333.9661018,111533.3571,0,0,1,1,0,0,0,1,0,179.7142857,187,161.5,0,0,0,0,0,0,5,935,2,323,65535,32768,1,20,0,0,0,0,0,0,0,0,0
6,7678,5,2,935,260,935,0,187,418.1447118,260,0,130,183.8477631,155639.4895,911.6957541,1279.666667,2831.808233,7053,8,7678,1919.5,3637.854725,7373,8,7053,7053,0,7053,7053,0,0,0,0,124,40,651.2112529,260.4845012,0,935,149.375,330.221111,109045.9821,0,0,1,1,0,0,0,1,0,170.7142857,187,130,0,0,0,0,0,0,5,935,2,260,65535,32768,1,20,0,0,0,0,0,0,0,0,0
6,14386,5,2,935,266,935,0,187,418.1447118,266,0,133,188.0904038,83483.94272,486.5841791,2397.666667,5623.305173,13874,6,14386,3596.5,7029.615566,14140,6,13874,13874,0,13874,13874,0,0,0,0,124,40,347.5601279,139.0240512,0,935,150.125,330.5149391,109240.125,0,0,1,1,0,0,0,1,0,171.5714286,187,133,0,0,0,0,0,0,5,935,2,266,65535,32768,1,20,0,0,0,0,0,0,0,0,0
6,17250,5,2,935,341,935,0,187,418.1447118,341,0,170.5,241.1234124,73971.01449,405.7971014,2875,6752.524506,16656,6,17250,4312.5,8435.734882,16965,6,16656,16656,0,16656,16656,0,0,0,0,124,40,289.8550725,115.942029,0,935,159.5,335.3002918,112426.2857,0,0,1,1,0,0,0,1,0,182.2857143,187,170.5,0,0,0,0,0,0,5,935,2,341,65535,32768,1,20,0,0,0,0,0,0,0,0,0
6,17428,5,2,935,287,935,0,187,418.1447118,287,0,143.5,202.9396462,70117.05302,401.6525132,2904.666667,6815.979978,16815,6,17428,4357,8522.085543,17139,6,16815,16815,0,16815,16815,0,0,0,0,124,40,286.8946523,114.7578609,0,935,152.75,331.6481569,109990.5,0,0,1,1,0,0,0,1,0,174.5714286,187,143.5,0,0,0,0,0,0,5,935,2,287,65535,32768,1,20,0,0,0,0,0,0,0,0,0
